Категория UI,Отображаемое имя,Ключ эффекта,Уровень,Поле базы,Класс,Специализация,Роль,Исходное значение,Источник кода
Утилити-бафы,Small Resistances (all),Small All Resist,Класс,classBuffs,Stormbringer,Wind,Саппорт,Small All Resist,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Intellect,Flat Intellect,Класс,classBuffs,Stormbringer,Wind,Саппорт,Flat Intellect,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Mana Regeneration,Mp5,Класс,classBuffs,Stormbringer,Wind,Саппорт,Mp5,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Concentration,Concentration,Класс,classBuffs,Stormbringer,Wind,Саппорт,Concentration,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Nature Resistance,Nature,Класс,classResists,Stormbringer,Wind,Саппорт,Nature,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Armor,Armor (Devo),Спек,specBuffs,Stormbringer,Wind,Саппорт,Armor (Devo),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Heroism | Bloodlust,Heroism,Спек,specBuffs,Stormbringer,Wind,Саппорт,Heroism,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,10% Stats,Stats % (Kings),Класс,classBuffs,Cultist,Heretic,Хилер,Stats % (Kings),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Intellect,Flat Intellect,Класс,classBuffs,Cultist,Heretic,Хилер,Flat Intellect,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Spirit,Flat Spirit,Класс,classBuffs,Cultist,Heretic,Хилер,Flat Spirit,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Dampen Magic,Dampen Magic,Класс,classBuffs,Cultist,Heretic,Хилер,Dampen Magic,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Shadow Resistance,Shadow,Класс,classResists,Cultist,Heretic,Хилер,Shadow,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,3% Damage Reduction (all),Dmg Reduct(-3%),Спек,specBuffs,Cultist,Heretic,Хилер,Dmg Reduct(-3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Replenishment,Replenishment,Спек,specBuffs,Cultist,Heretic,Хилер,Replenishment,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,10% Stats,Stats % (Kings),Класс,classBuffs,Cultist,Dreadnought,Танк,Stats % (Kings),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Intellect,Flat Intellect,Класс,classBuffs,Cultist,Dreadnought,Танк,Flat Intellect,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Spirit,Flat Spirit,Класс,classBuffs,Cultist,Dreadnought,Танк,Flat Spirit,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Dampen Magic,Dampen Magic,Класс,classBuffs,Cultist,Dreadnought,Танк,Dampen Magic,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Shadow Resistance,Shadow,Класс,classResists,Cultist,Dreadnought,Танк,Shadow,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Attack Speed Slow,Attack Speed (Slow),Спек,specBuffs,Cultist,Dreadnought,Танк,Attack Speed (Slow),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,3% Hit Reduction,Insect Swarm Hit (3%),Спек,specBuffs,Cultist,Dreadnought,Танк,Insect Swarm Hit (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Attack Power Reduction,Attack Power Reduction,Спек,specDebuffs,Cultist,Dreadnought,Танк,Attack Power Reduction,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,10% Stats,Stats % (Kings),Класс,classBuffs,Cultist,Corruption,Рейндж/кастер,Stats % (Kings),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Intellect,Flat Intellect,Класс,classBuffs,Cultist,Corruption,Рейндж/кастер,Flat Intellect,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Spirit,Flat Spirit,Класс,classBuffs,Cultist,Corruption,Рейндж/кастер,Flat Spirit,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Dampen Magic,Dampen Magic,Класс,classBuffs,Cultist,Corruption,Рейндж/кастер,Dampen Magic,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Shadow Resistance,Shadow,Класс,classResists,Cultist,Corruption,Рейндж/кастер,Shadow,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Spell Power,Spell Power Flat,Спек,specBuffs,Cultist,Corruption,Рейндж/кастер,Spell Power Flat,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,3% Spell Haste,Spell Haste (3%),Спек,specBuffs,Cultist,Corruption,Рейндж/кастер,Spell Haste (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Магические дебафы,3% Spell Hit,Spell Hit (3%) DEBUFF,Спек,specDebuffs,Cultist,Corruption,Рейндж/кастер,Spell Hit (3%) DEBUFF,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,3% Hit Reduction,Insect Swarm Hit (3%),Спек,specDebuffs,Cultist,Corruption,Рейндж/кастер,Insect Swarm Hit (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,10% Stats,Stats % (Kings),Класс,classBuffs,Cultist,Godblade,Мили-DPS,Stats % (Kings),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Intellect,Flat Intellect,Класс,classBuffs,Cultist,Godblade,Мили-DPS,Flat Intellect,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Spirit,Flat Spirit,Класс,classBuffs,Cultist,Godblade,Мили-DPS,Flat Spirit,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Dampen Magic,Dampen Magic,Класс,classBuffs,Cultist,Godblade,Мили-DPS,Dampen Magic,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Shadow Resistance,Shadow,Класс,classResists,Cultist,Godblade,Мили-DPS,Shadow,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Healing Reduction,Healing Reduc (30-50%),Спек,specBuffs,Cultist,Godblade,Мили-DPS,Healing Reduc (30-50%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Магические дебафы,10% Spell Damage,Spell Dmg Taken (10%),Спек,specDebuffs,Cultist,Godblade,Мили-DPS,Spell Dmg Taken (10%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Attack Power Reduction,Attack Power Reduction,Спек,specDebuffs,Cultist,Godblade,Мили-DPS,Attack Power Reduction,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Stamina,Stamina (Fort),Класс,classBuffs,Knight of Xoroth,Hellfire,Мили-DPS,Stamina (Fort),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Strength,Flat Strength,Класс,classBuffs,Knight of Xoroth,Hellfire,Мили-DPS,Flat Strength,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Intellect,Flat Intellect,Класс,classBuffs,Knight of Xoroth,Hellfire,Мили-DPS,Flat Intellect,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,5% Resource Reduction,Cost Reduction (5%),Класс,classBuffs,Knight of Xoroth,Hellfire,Мили-DPS,Cost Reduction (5%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Fire Resistance,Fire,Класс,classResists,Knight of Xoroth,Hellfire,Мили-DPS,Fire,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Frost Resistance,Frost,Класс,classResists,Knight of Xoroth,Hellfire,Мили-DPS,Frost,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Shadow Resistance,Shadow,Класс,classResists,Knight of Xoroth,Hellfire,Мили-DPS,Shadow,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Arcane Resistance,Arcane,Класс,classResists,Knight of Xoroth,Hellfire,Мили-DPS,Arcane,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,5% Attack Power,Attack Power %,Спек,specBuffs,Knight of Xoroth,Hellfire,Мили-DPS,Attack Power %,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,3% Damage Done (all),All Damage Done (3%),Спек,specBuffs,Knight of Xoroth,Hellfire,Мили-DPS,All Damage Done (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Магические дебафы,3% Spell Critical Strike Chance,Spell Crit Taken Debuff (3%),Спек,specBuffs,Knight of Xoroth,Hellfire,Мили-DPS,Spell Crit Taken Debuff (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Cast Speed Slow,Cast Slow 30%,Спек,specDebuffs,Knight of Xoroth,Hellfire,Мили-DPS,Cast Slow 30%,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Stamina,Stamina (Fort),Класс,classBuffs,Knight of Xoroth,War,Мили-DPS,Stamina (Fort),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Strength,Flat Strength,Класс,classBuffs,Knight of Xoroth,War,Мили-DPS,Flat Strength,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Intellect,Flat Intellect,Класс,classBuffs,Knight of Xoroth,War,Мили-DPS,Flat Intellect,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,5% Resource Reduction,Cost Reduction (5%),Класс,classBuffs,Knight of Xoroth,War,Мили-DPS,Cost Reduction (5%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Fire Resistance,Fire,Класс,classResists,Knight of Xoroth,War,Мили-DPS,Fire,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Frost Resistance,Frost,Класс,classResists,Knight of Xoroth,War,Мили-DPS,Frost,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Shadow Resistance,Shadow,Класс,classResists,Knight of Xoroth,War,Мили-DPS,Shadow,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Arcane Resistance,Arcane,Класс,classResists,Knight of Xoroth,War,Мили-DPS,Arcane,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,3% Critical Strike (all),All Crit (3%),Спек,specBuffs,Knight of Xoroth,War,Мили-DPS,All Crit (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические дебафы,4% Physical Damage,Phys Dmg Taken (4%),Спек,specDebuffs,Knight of Xoroth,War,Мили-DPS,Phys Dmg Taken (4%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Healing Reduction,Healing Reduc (30-50%),Спек,specDebuffs,Knight of Xoroth,War,Мили-DPS,Healing Reduc (30-50%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические дебафы,Armor Reduction,% Armor Debuff,Спек,specDebuffs,Knight of Xoroth,War,Мили-DPS,% Armor Debuff,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Stamina,Stamina (Fort),Класс,classBuffs,Knight of Xoroth,Defiance,Танк,Stamina (Fort),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Strength,Flat Strength,Класс,classBuffs,Knight of Xoroth,Defiance,Танк,Flat Strength,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Intellect,Flat Intellect,Класс,classBuffs,Knight of Xoroth,Defiance,Танк,Flat Intellect,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,5% Resource Reduction,Cost Reduction (5%),Класс,classBuffs,Knight of Xoroth,Defiance,Танк,Cost Reduction (5%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Fire Resistance,Fire,Класс,classResists,Knight of Xoroth,Defiance,Танк,Fire,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Frost Resistance,Frost,Класс,classResists,Knight of Xoroth,Defiance,Танк,Frost,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Shadow Resistance,Shadow,Класс,classResists,Knight of Xoroth,Defiance,Танк,Shadow,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Arcane Resistance,Arcane,Класс,classResists,Knight of Xoroth,Defiance,Танк,Arcane,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Attack Power Reduction,Attack Power Reduction,Спек,specBuffs,Knight of Xoroth,Defiance,Танк,Attack Power Reduction,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Attack Speed Slow,Attack Speed (Slow),Спек,specBuffs,Knight of Xoroth,Defiance,Танк,Attack Speed (Slow),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Магические дебафы,10% Spell Damage,Spell Dmg Taken (10%),Спек,specDebuffs,Knight of Xoroth,Defiance,Танк,Spell Dmg Taken (10%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические дебафы,Armor Reduction,% Armor Debuff,Спек,specDebuffs,Knight of Xoroth,Defiance,Танк,% Armor Debuff,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Strength,Flat Strength,Класс,classBuffs,Guardian,Vanguard,Танк,Flat Strength,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Nature Resistance,Nature,Класс,classResists,Guardian,Vanguard,Танк,Nature,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,3% Damage Reduction (all),Dmg Reduct(-3%),Спек,specBuffs,Guardian,Vanguard,Танк,Dmg Reduct(-3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Attack Speed Slow,Attack Speed (Slow),Спек,specBuffs,Guardian,Vanguard,Танк,Attack Speed (Slow),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические дебафы,Armor Reduction,% Armor Debuff,Спек,specDebuffs,Guardian,Vanguard,Танк,% Armor Debuff,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Attack Power Reduction,Attack Power Reduction,Спек,specDebuffs,Guardian,Vanguard,Танк,Attack Power Reduction,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Strength,Flat Strength,Класс,classBuffs,Guardian,Gladiator,Мили-DPS,Flat Strength,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Nature Resistance,Nature,Класс,classResists,Guardian,Gladiator,Мили-DPS,Nature,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,5% Attack Power,Attack Power %,Спек,specBuffs,Guardian,Gladiator,Мили-DPS,Attack Power %,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические дебафы,4% Physical Damage,Phys Dmg Taken (4%),Спек,specDebuffs,Guardian,Gladiator,Мили-DPS,Phys Dmg Taken (4%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Healing Reduction,Healing Reduc (30-50%),Спек,specDebuffs,Guardian,Gladiator,Мили-DPS,Healing Reduc (30-50%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические дебафы,Armor Reduction,% Armor Debuff,Спек,specDebuffs,Guardian,Gladiator,Мили-DPS,% Armor Debuff,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Strength,Flat Strength,Класс,classBuffs,Guardian,Inspiration,Саппорт,Flat Strength,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Nature Resistance,Nature,Класс,classResists,Guardian,Inspiration,Саппорт,Nature,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Armor,Armor (Devo),Спек,specBuffs,Guardian,Inspiration,Саппорт,Armor (Devo),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Heroism | Bloodlust,Heroism,Спек,specBuffs,Guardian,Inspiration,Саппорт,Heroism,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Магические дебафы,Resistance Reduction,Resistance REDUCTION,Спек,specBuffs,Guardian,Inspiration,Саппорт,Resistance REDUCTION,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические дебафы,Armor Reduction,% Armor Debuff,Спек,specDebuffs,Guardian,Inspiration,Саппорт,% Armor Debuff,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Intellect,Flat Intellect,Класс,classBuffs,Starcaller,Moon Priest,Хилер,Flat Intellect,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Strong Mana Cooldown,Burst Mana,Класс,classBuffs,Starcaller,Moon Priest,Хилер,Burst Mana,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Arcane Resistance,Arcane,Класс,classResists,Starcaller,Moon Priest,Хилер,Arcane,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,3% Critical Strike (all),All Crit (3%),Спек,specBuffs,Starcaller,Moon Priest,Хилер,All Crit (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Магические дебафы,Resistance Reduction,Resistance REDUCTION,Спек,specBuffs,Starcaller,Moon Priest,Хилер,Resistance REDUCTION,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Intellect,Flat Intellect,Класс,classBuffs,Starcaller,Warden,Мили-DPS,Flat Intellect,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Strong Mana Cooldown,Burst Mana,Класс,classBuffs,Starcaller,Warden,Мили-DPS,Burst Mana,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Arcane Resistance,Arcane,Класс,classResists,Starcaller,Warden,Мили-DPS,Arcane,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,3% Critical Strike (all),All Crit (3%),Спек,specBuffs,Starcaller,Warden,Мили-DPS,All Crit (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Магические дебафы,Resistance Reduction,Resistance REDUCTION,Спек,specBuffs,Starcaller,Warden,Мили-DPS,Resistance REDUCTION,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Healing Reduction,Healing Reduc (30-50%),Спек,specDebuffs,Starcaller,Warden,Мили-DPS,Healing Reduc (30-50%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Intellect,Flat Intellect,Класс,classBuffs,Starcaller,Sentinel,Рейндж/кастер,Flat Intellect,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Strong Mana Cooldown,Burst Mana,Класс,classBuffs,Starcaller,Sentinel,Рейндж/кастер,Burst Mana,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Arcane Resistance,Arcane,Класс,classResists,Starcaller,Sentinel,Рейндж/кастер,Arcane,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,10% Melee & Range Haste,Melee/Range Haste (10%),Спек,specBuffs,Starcaller,Sentinel,Рейндж/кастер,Melee/Range Haste (10%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Магические дебафы,Resistance Reduction,Resistance REDUCTION,Спек,specBuffs,Starcaller,Sentinel,Рейндж/кастер,Resistance REDUCTION,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Магические дебафы,10% Spell Damage,Spell Dmg Taken (10%),Спек,specDebuffs,Starcaller,Sentinel,Рейндж/кастер,Spell Dmg Taken (10%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Intellect,Flat Intellect,Класс,classBuffs,Starcaller,Moon Guard,Танк,Flat Intellect,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Strong Mana Cooldown,Burst Mana,Класс,classBuffs,Starcaller,Moon Guard,Танк,Burst Mana,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Arcane Resistance,Arcane,Класс,classResists,Starcaller,Moon Guard,Танк,Arcane,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,3% Damage Reduction (all),Dmg Reduct(-3%),Спек,specBuffs,Starcaller,Moon Guard,Танк,Dmg Reduct(-3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Магические дебафы,Resistance Reduction,Resistance REDUCTION,Спек,specBuffs,Starcaller,Moon Guard,Танк,Resistance REDUCTION,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Магические дебафы,10% Spell Damage,Spell Dmg Taken (10%),Спек,specDebuffs,Starcaller,Moon Guard,Танк,Spell Dmg Taken (10%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Attack Speed Slow,Attack Speed (Slow),Спек,specDebuffs,Starcaller,Moon Guard,Танк,Attack Speed (Slow),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,3% Hit Reduction,Insect Swarm Hit (3%),Спек,specDebuffs,Starcaller,Moon Guard,Танк,Insect Swarm Hit (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,10% Stats,Stats % (Kings),Класс,classBuffs,Sun Cleric,Blessings,Хилер,Stats % (Kings),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Attack Power,AP Flat (Shout),Класс,classBuffs,Sun Cleric,Blessings,Хилер,AP Flat (Shout),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Spell Power,Spell Power Flat,Класс,classBuffs,Sun Cleric,Blessings,Хилер,Spell Power Flat,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Mana Regeneration,Mp5,Класс,classBuffs,Sun Cleric,Blessings,Хилер,Mp5,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,5% Resource Reduction,Cost Reduction (5%),Класс,classBuffs,Sun Cleric,Blessings,Хилер,Cost Reduction (5%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,3% Spell Haste,Spell Haste (3%),Спек,specBuffs,Sun Cleric,Blessings,Хилер,Spell Haste (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Магические дебафы,Resistance Reduction,Resistance REDUCTION,Спек,specBuffs,Sun Cleric,Blessings,Хилер,Resistance REDUCTION,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,10% Stats,Stats % (Kings),Класс,classBuffs,Sun Cleric,Valkyrie,Мили-DPS,Stats % (Kings),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Attack Power,AP Flat (Shout),Класс,classBuffs,Sun Cleric,Valkyrie,Мили-DPS,AP Flat (Shout),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Spell Power,Spell Power Flat,Класс,classBuffs,Sun Cleric,Valkyrie,Мили-DPS,Spell Power Flat,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Mana Regeneration,Mp5,Класс,classBuffs,Sun Cleric,Valkyrie,Мили-DPS,Mp5,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,5% Resource Reduction,Cost Reduction (5%),Класс,classBuffs,Sun Cleric,Valkyrie,Мили-DPS,Cost Reduction (5%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,3% Damage Done (all),All Damage Done (3%),Спек,specBuffs,Sun Cleric,Valkyrie,Мили-DPS,All Damage Done (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Магические дебафы,Resistance Reduction,Resistance REDUCTION,Спек,specBuffs,Sun Cleric,Valkyrie,Мили-DPS,Resistance REDUCTION,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Attack Speed Slow,Attack Speed (Slow),Спек,specDebuffs,Sun Cleric,Valkyrie,Мили-DPS,Attack Speed (Slow),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
