Класс,Специализация,Тип,Фактическая аура,Spell ID,Боев со спеком,Боев с аурой,Покрытие,Специфичность,Охват игроков,Босс-цель,Наблюдаемый тип,Событий от спека,Ранг
Primalist,Grovekeeper,BUFF,Greater Earthen Endurance,570756,174,117,0.6724137931034483,0.6970853573907009,0.9583333333333334,0,raid_buff,2009,12
Primalist,Grovekeeper,BUFF,Vitality Surge,504215,174,110,0.632183908045977,1,1,0,raid_buff,537260,13
Primalist,Grovekeeper,BUFF,Heavy Handed,706345,174,98,0.5632183908045977,0.9440242057488654,0.2928571428571428,0,limited,6240,14
Primalist,Grovekeeper,BUFF,Protective Roar,802782,174,97,0.5574712643678161,0.5579081632653061,0.7391304347826086,0,raid_buff,6561,15
Primalist,Grovekeeper,DEBUFF,Doused,803514,174,96,0.5517241379310345,1,0,1,boss_debuff,12297,16
Primalist,Grovekeeper,BUFF,Flourishing Growth,807334,174,93,0.5344827586206896,0.9982553701886381,1,0,raid_buff,45775,17
Primalist,Grovekeeper,BUFF,Greater Essence of Nature,582261,174,92,0.5287356321839081,0.6634072142546719,1,0,raid_buff,3053,18
Primalist,Grovekeeper,BUFF,Greater Primal Instinct,680310,174,81,0.46551724137931033,0.5714768502872593,1,0,raid_buff,1691,19
Primalist,Grovekeeper,BUFF,Primal Awakening,807560,174,52,0.2988505747126437,1,1,0,raid_buff,2617,20
Primalist,Grovekeeper,BUFF,Earthmother's Empowerment,300739,174,33,0.1896551724137931,1,0.36666666666666664,0,limited,2262,21
Primalist,Grovekeeper,DEBUFF,Ursoc's Bellow,707735,174,28,0.16091954022988506,0.8092909535452323,0,0.9285714285714286,boss_debuff,331,22
Primalist,Grovekeeper,BUFF,Bramblepatch,806415,174,23,0.13218390804597702,0.9534883720930233,0.625,0,limited,1558,23
Primalist,Mountain King,DEBUFF,Raging Earth,681089,42,42,1,1,0,1,boss_debuff,3730,1
Primalist,Mountain King,DEBUFF,Quake,520463,42,42,1,1,0,1,boss_debuff,3371,2
Primalist,Mountain King,DEBUFF,Gaze of Theradras,805919,42,35,0.8333333333333334,0.9873150105708245,0,0.9428571428571428,boss_debuff,934,3
Primalist,Wildwalker,DEBUFF,Torn to Shreds,560313,77,77,1,1,0,1,boss_debuff,8769,1
Primalist,Wildwalker,DEBUFF,Primal Shred,504684,77,74,0.961038961038961,1,0,1,boss_debuff,2726,2
Primalist,Wildwalker,DEBUFF,Seismic Crash,503264,77,74,0.961038961038961,0.6321371494987651,0,0.972972972972973,boss_debuff,4351,3
Primalist,Wildwalker,DEBUFF,Bestial Wrath,572047,77,71,0.922077922077922,1,0,0.971830985915493,boss_debuff,14712,4
Primalist,Wildwalker,DEBUFF,Earthmother's Precision,555724,77,62,0.8051948051948052,0.728428093645485,0,0.8387096774193549,boss_debuff,2178,5
Primalist,Wildwalker,DEBUFF,Totemic Crash,547213,77,47,0.6103896103896104,1,0,1,boss_debuff,3420,6
Primalist,Wildwalker,BUFF,Primal Totem,806694,77,23,0.2987012987012987,1,1,0,raid_buff,1206,7
Primalist,Wildwalker,DEBUFF,Bring Me Their Bones,806552,77,22,0.2857142857142857,1,0,1,boss_debuff,749,8
Primalist,Wildwalker,DEBUFF,Rexxar's Might,806562,77,19,0.24675324675324675,1,0,1,boss_debuff,1664,9
Primalist,Wildwalker,DEBUFF,Rake (Pet),59884,77,17,0.22077922077922077,1,0,1,boss_debuff,635,10
Primalist,Wildwalker,DEBUFF,Savage Rend,53580,77,11,0.14285714285714285,1,0,1,boss_debuff,97,11
Primalist,Wildwalker,DEBUFF,Blood for Hakkar!,312525,77,10,0.12987012987012986,0.5454545454545454,0,1,boss_debuff,120,12
Pyromancer,Draconic,DEBUFF,Draconic Tempest,301212,61,51,0.8360655737704918,0.9982621288921072,0,0.8823529411764706,boss_debuff,6893,1
Pyromancer,Draconic,DEBUFF,Volcano,807540,61,32,0.5245901639344263,1,0,1,boss_debuff,4844,2
Pyromancer,Flameweaving,BUFF,Phoenix Shield,706855,128,122,0.953125,0.9850768251563593,1,0,raid_buff,187270,1
Pyromancer,Flameweaving,BUFF,Phoenix Dive,706854,128,122,0.953125,0.9829059829059829,0.3333333333333333,0,limited,7015,2
Pyromancer,Flameweaving,BUFF,Shielded by Flames,704277,128,120,0.9375,0.9752714881691665,0.9534632034632035,0,raid_buff,61249,3
Pyromancer,Flameweaving,BUFF,Inferno,807944,128,120,0.9375,0.9744691004533524,0.5211640211640212,0,limited,8168,4
Pyromancer,Flameweaving,BUFF,Lucifron's Rage,524624,128,68,0.53125,1,0.3675,0,limited,8303,5
Pyromancer,Flameweaving,BUFF,Ascension of Executus,1119758,128,44,0.34375,0.7085337128275592,0.6140583554376657,0,limited,28877,6
Pyromancer,Flameweaving,BUFF,Roaring Pyre,704279,128,17,0.1328125,1,1,0,raid_buff,9970,7
Pyromancer,Flameweaving,BUFF,Grace of Alexstrasza,803411,128,13,0.1015625,0.7620578778135049,0.52,0,limited,474,8
Pyromancer,Incineration,DEBUFF,Burned,572626,61,61,1,1,0,1,boss_debuff,10664,1
Pyromancer,Incineration,DEBUFF,Scorched,680962,61,61,1,1,0,1,boss_debuff,5096,2
Pyromancer,Incineration,DEBUFF,Blaze,572160,61,61,1,0.5648577768811781,0,1,boss_debuff,2800,3
Pyromancer,Incineration,DEBUFF,Ignite,502029,61,61,1,1,0,1,boss_debuff,2535,4
Pyromancer,Incineration,DEBUFF,Infernus,706874,61,61,1,1,0,1,boss_debuff,2381,5
Pyromancer,Incineration,DEBUFF,Pyroclasm,520826,61,26,0.4262295081967213,1,0,1,boss_debuff,115,6
Pyromancer,Incineration,DEBUFF,Sulfur Fumes,807224,61,14,0.22950819672131148,1,0,1,boss_debuff,3807,7
Ranger,Archery,DEBUFF,Serrated Shot,575836,145,139,0.9586206896551724,0.8450218441020925,0,0.9928057553956835,boss_debuff,3675,1
Ranger,Archery,BUFF,Horn of Perseverance,800088,145,137,0.9448275862068966,0.9507856936276873,1,0,raid_buff,19725,2
Ranger,Archery,DEBUFF,Toxic Dart,807330,145,111,0.7655172413793103,0.8974358974358975,0,0.8828828828828829,boss_debuff,280,3
Ranger,Archery,DEBUFF,Pierced,782754,145,108,0.7448275862068966,0.6467211688989389,0,1,boss_debuff,3718,4
Ranger,Archery,DEBUFF,Weapon Oil,567737,145,106,0.7310344827586207,1,0,1,boss_debuff,16216,5
Ranger,Archery,DEBUFF,Precision Shot,800578,145,105,0.7241379310344828,1,0,1,boss_debuff,2792,6
Ranger,Archery,BUFF,Greater Footpad's Adaptation,523513,145,104,0.7172413793103448,0.9668711656441717,0.96,0,raid_buff,2364,7
Ranger,Archery,DEBUFF,Strike Where It Hurts,567588,145,88,0.6068965517241379,1,0,1,boss_debuff,37429,8
Ranger,Archery,BUFF,Wild Blessing,681539,145,86,0.593103448275862,0.9430091185410334,0.9555335968379447,0,raid_buff,2482,9
Ranger,Archery,BUFF,Greater Woodsman's Adaptation,680294,145,70,0.4827586206896552,0.9174698795180722,0.9523809523809523,0,raid_buff,1523,10
Ranger,Archery,DEBUFF,Hunting Shot,547205,145,51,0.35172413793103446,1,0,0.9019607843137255,boss_debuff,9296,11
Ranger,Archery,DEBUFF,Uncover Weakness,572178,145,42,0.2896551724137931,0.9784615384615385,0,1,boss_debuff,318,12
Ranger,Archery,DEBUFF,Nerve Venom,570244,145,27,0.18620689655172415,0.9784891165172855,0,1,boss_debuff,3821,13
Ranger,Brigand,DEBUFF,Ravage,803864,9,9,1,1,0,1,boss_debuff,1863,1
Ranger,Brigand,DEBUFF,Barbed Quills,801472,9,8,0.8888888888888888,1,0,1,boss_debuff,3054,2
Ranger,Brigand,DEBUFF,Dirty Blades,520571,9,6,0.6666666666666666,1,0,1,boss_debuff,406,3
Ranger,Brigand,DEBUFF,Jagged Edge,567592,9,4,0.4444444444444444,0.9416403785488959,0,1,boss_debuff,597,4
Ranger,Brigand,DEBUFF,Outmaneuver,557325,9,1,0.1111111111111111,1,0,1,boss_debuff,16,5
Ranger,Brigand,DEBUFF,'Tactical' Advantage,706749,9,1,0.1111111111111111,1,0,1,boss_debuff,2,6
Ranger,Farstrider,BUFF,Battle Screech,706399,1,1,1,1,1,0,raid_buff,231,1
Ranger,Farstrider,DEBUFF,Enchanted Flare,801935,1,1,1,1,0,1,boss_debuff,28,2
Ranger,Farstrider,DEBUFF,Quel'dorei Poison,586212,1,1,1,1,0,1,boss_debuff,22,3
Ranger,Farstrider,BUFF,Flower Fantasy,561007,1,1,1,1,0.4,0,limited,67,4
Reaper,Domination,DEBUFF,Soul Splinter,805720,46,46,1,1,0,1,boss_debuff,9414,1
Reaper,Domination,DEBUFF,Essence Binder,800437,46,46,1,1,0,1,boss_debuff,2432,2
Reaper,Domination,BUFF,Spectral Warden,805716,46,41,0.8913043478260869,0.996841155234657,0.4,0,limited,2209,3
Reaper,Domination,DEBUFF,Intimidated,680339,46,37,0.8043478260869565,1,0,1,boss_debuff,964,4
Reaper,Domination,DEBUFF,Requiem,572179,46,36,0.782608695652174,1,0,1,boss_debuff,1989,5
Reaper,Domination,DEBUFF,Writhe,801337,46,36,0.782608695652174,0.989778534923339,0,0.9166666666666666,boss_debuff,581,6
Reaper,Domination,BUFF,Greater Rite of Resolve,680298,46,19,0.41304347826086957,0.5070754716981132,1,0,raid_buff,430,7
Reaper,Harvest,DEBUFF,Doomrend,560361,116,116,1,1,0,0.9913793103448276,boss_debuff,7568,1
Reaper,Harvest,DEBUFF,Scythe Rush,500377,116,86,0.7413793103448276,0.762481089258699,0,0.8604651162790697,boss_debuff,504,2
Reaper,Harvest,DEBUFF,Soulrend,573320,116,85,0.7327586206896551,0.6521739130434783,0,1,boss_debuff,1215,3
Reaper,Harvest,DEBUFF,Withering Touch,573071,116,77,0.6637931034482759,0.6736672051696284,0,1,boss_debuff,417,4
Reaper,Harvest,DEBUFF,Murder,560421,116,61,0.5258620689655172,0.5858657243816254,0,0.9836065573770492,boss_debuff,2487,5
Reaper,Harvest,DEBUFF,Darkrend Scythe,704256,116,45,0.3879310344827586,1,0,0.9777777777777777,boss_debuff,5269,6
Reaper,Harvest,DEBUFF,Shudder Scythe,572382,116,39,0.33620689655172414,1,0,1,boss_debuff,1996,7
Reaper,Harvest,DEBUFF,Blood Frenzy,803039,116,37,0.31896551724137934,1,0,1,boss_debuff,110,8
Reaper,Harvest,DEBUFF,Deathwind,502994,116,29,0.25,0.5505267843893753,0,1,boss_debuff,3710,9
Reaper,Harvest,BUFF,Deathwind,502994,116,29,0.25,0.5227352618845764,0.72,0,raid_buff,25280,10
Reaper,Harvest,DEBUFF,Harvesting Grounds,705413,116,27,0.23275862068965517,1,0,1,boss_debuff,560,11
Reaper,Harvest,BUFF,Harvesting Grounds,707591,116,27,0.23275862068965517,1,0.84,0,raid_buff,4554,12
Reaper,Soul,DEBUFF,Deathchaser,573053,20,20,1,1,0,1,boss_debuff,1030,1
Reaper,Soul,DEBUFF,Weakened Soul,803433,20,20,1,1,0,1,boss_debuff,270,2
Reaper,Soul,DEBUFF,Chasing Death,807418,20,19,0.95,1,0,1,boss_debuff,189,3
Reaper,Soul,DEBUFF,Soulrot,804660,20,14,0.7,1,0,1,boss_debuff,2601,4
Reaper,Soul,DEBUFF,Anima Ambush,705425,20,7,0.35,1,0,0.8571428571428571,boss_debuff,14,5
Runemaster,Engravement,DEBUFF,Marked: Runic Brand,712323,117,117,1,1,0,1,boss_debuff,6641,1
Runemaster,Engravement,DEBUFF,Weapon Engraving: Fire,653210,117,113,0.9658119658119658,0.8532816589490638,0,1,boss_debuff,50859,2
Runemaster,Engravement,BUFF,Power Engraving,500296,117,104,0.8888888888888888,0.7384505477059851,0.5527272727272727,0,limited,9303,3
Runemaster,Engravement,DEBUFF,Leybreaker,520555,117,68,0.5811965811965812,1,0,1,boss_debuff,3587,4
Runemaster,Engravement,DEBUFF,Eskhandar's Slow,909665,117,34,0.2905982905982906,0.5382436260623229,0,1,boss_debuff,760,5
Runemaster,Engravement,DEBUFF,Eskhandar's Rake,909300,117,34,0.2905982905982906,0.5295489891135303,0,1,boss_debuff,681,6
Runemaster,Engravement,BUFF,Speed Rune,802725,117,34,0.2905982905982906,0.5082939338087988,0.65,0,limited,6343,7
Runemaster,Engravement,BUFF,Greater Etching of the Dextrous,561241,117,28,0.23931623931623933,0.5460852329038652,0.9230769230769231,0,raid_buff,551,8
Runemaster,Glyphic,DEBUFF,Ley Mark,504844,59,59,1,1,0,1,boss_debuff,4371,1
Runemaster,Glyphic,DEBUFF,Unleashed Flame Glyph,520097,59,59,1,0.9994568169473113,0,1,boss_debuff,3680,2
Runemaster,Glyphic,DEBUFF,Runic Obliteration,805794,59,59,1,1,0,1,boss_debuff,1516,3
Runemaster,Glyphic,DEBUFF,Overloaded Flame Glyph,520107,59,58,0.9830508474576272,1,0,1,boss_debuff,902,4
Runemaster,Glyphic,DEBUFF,Frigid Fusion,803225,59,53,0.8983050847457628,0.9997907949790795,0,1,boss_debuff,19116,5
Runemaster,Glyphic,DEBUFF,Manuscription,525302,59,42,0.711864406779661,1,0,1,boss_debuff,1390,6
Runemaster,Glyphic,DEBUFF,Weapon Engraving: Arcane,653263,59,28,0.4745762711864407,0.7106666666666667,0,0.9285714285714286,boss_debuff,5863,7
Runemaster,Riftblade,DEBUFF,Hoarfrost,572737,80,77,0.9625,1,0,1,boss_debuff,2802,1
Runemaster,Riftblade,DEBUFF,Hoarfrost Checker,572755,80,77,0.9625,1,0,1,boss_debuff,1436,2
Runemaster,Riftblade,DEBUFF,Palm Sigil: Arcane,807819,80,33,0.4125,0.6071428571428571,0,0.7272727272727273,boss_debuff,68,3
Starcaller,Moon Guard,DEBUFF,Enduring Moon,572181,27,27,1,1,0,1,boss_debuff,3158,1
Starcaller,Moon Guard,DEBUFF,Starburst,704796,27,26,0.9629629629629629,1,0,1,boss_debuff,1517,2
Starcaller,Moon Guard,DEBUFF,Command,804386,27,24,0.8888888888888888,0.9866220735785953,0,0.875,boss_debuff,295,3
Starcaller,Moon Guard,DEBUFF,Eclipse of Fury,570221,27,8,0.2962962962962963,0.5740740740740741,0,0.5,limited,62,4
Starcaller,Moon Priest,BUFF,Eclipsing Arrows,574154,102,102,1,1,1,0,raid_buff,30210,1
Starcaller,Moon Priest,BUFF,Aspect of the Goddess,801401,102,97,0.9509803921568627,1,0.8,0,raid_buff,73038,2
Starcaller,Moon Priest,BUFF,Moonwater,804735,102,48,0.47058823529411764,1,1,0,raid_buff,165213,3
Starcaller,Moon Priest,BUFF,Elune's Grace,504027,102,44,0.43137254901960786,1,0.9583333333333334,0,raid_buff,9893,4
Starcaller,Moon Priest,BUFF,Moonwell,804739,102,44,0.43137254901960786,1,0.575,0,limited,2438,5
Starcaller,Sentinel,DEBUFF,Starfire Barrage,803264,76,65,0.8552631578947368,1,0,1,boss_debuff,19264,1
Starcaller,Sentinel,DEBUFF,Exemplary Draw,504005,76,32,0.42105263157894735,1,0,0.96875,boss_debuff,467,2
Starcaller,Warden,DEBUFF,Astral Combatant,805566,106,78,0.7358490566037735,0.9986389266964807,0,0.9871794871794872,boss_debuff,10272,1
Starcaller,Warden,DEBUFF,Vengeance,680710,106,57,0.5377358490566038,0.9985185185185185,0,0.9824561403508771,boss_debuff,9436,2
Starcaller,Warden,DEBUFF,Warden's Strike (Aspect of the Warden),805511,106,54,0.5094339622641509,0.9856057576969213,0,1,boss_debuff,2465,3
Starcaller,Warden,DEBUFF,Avatar of Vengeance,531757,106,53,0.5,1,0,1,boss_debuff,962,4
Starcaller,Warden,DEBUFF,Lunar Lance,502339,106,27,0.25471698113207547,0.5421810699588477,0,1,boss_debuff,527,5
Starcaller,Warden,DEBUFF,Starshatter,707725,106,24,0.22641509433962265,0.7082728592162555,0,1,boss_debuff,976,6
Stormbringer,Lightning,DEBUFF,Shock,560336,86,86,1,0.9511128775834659,0,1,boss_debuff,4786,1
Stormbringer,Lightning,DEBUFF,Volt,501409,86,86,1,1,0,1,boss_debuff,2590,2
Stormbringer,Lightning,DEBUFF,Thorim's Gift,570174,86,85,0.9883720930232558,1,0,1,boss_debuff,2900,3
Stormbringer,Lightning,DEBUFF,Sparks,706729,86,83,0.9651162790697675,1,0,1,boss_debuff,4003,4
Stormbringer,Lightning,DEBUFF,Eye of the Storm,807712,86,74,0.8604651162790697,0.7578639356254572,0,1,boss_debuff,2072,5
Stormbringer,Lightning,BUFF,Greater Call of the Lightning,575846,86,51,0.5930232558139535,0.869467787114846,0.9583333333333334,0,raid_buff,1552,6
Stormbringer,Lightning,DEBUFF,Thunder Grip,301220,86,38,0.4418604651162791,0.836147877681424,0,1,boss_debuff,3664,7
Stormbringer,Lightning,DEBUFF,Forked Lightning,804832,86,30,0.3488372093023256,1,0,1,boss_debuff,1828,8
Stormbringer,Lightning,DEBUFF,Conjure Storm,501420,86,19,0.22093023255813954,0.7496510004653327,0,0.9473684210526315,boss_debuff,1611,9
Stormbringer,Maelstrom,DEBUFF,Stormflow,572866,24,24,1,1,0,1,boss_debuff,1369,1
Stormbringer,Maelstrom,DEBUFF,Drowning,806406,24,24,1,1,0,1,boss_debuff,452,2
Stormbringer,Maelstrom,DEBUFF,Drown,572764,24,24,1,1,0,1,boss_debuff,208,3
Stormbringer,Maelstrom,DEBUFF,Conduit,806393,24,21,0.875,1,0,1,boss_debuff,3595,4
Stormbringer,Maelstrom,DEBUFF,Geyser,680352,24,13,0.5416666666666666,1,0,1,boss_debuff,152,5
Stormbringer,Maelstrom,DEBUFF,Stormcloud,801859,24,13,0.5416666666666666,1,0,1,boss_debuff,77,6
Stormbringer,Maelstrom,DEBUFF,Stormfury,532751,24,6,0.25,1,0,1,boss_debuff,94,7
Stormbringer,Wind,BUFF,Kiss of the Clouds,500292,8,8,1,1,1,0,raid_buff,4028,1
Stormbringer,Wind,DEBUFF,Updraft,570166,8,8,1,1,0,1,boss_debuff,1542,2
Stormbringer,Wind,DEBUFF,Aeroblast,802750,8,8,1,1,0,1,boss_debuff,300,3
Stormbringer,Wind,BUFF,Updraft,704202,8,8,1,1,0.8994252873563219,0,raid_buff,13811,4
Stormbringer,Wind,BUFF,Focal Point,680876,8,6,0.75,1,1,0,raid_buff,6064,5
Stormbringer,Wind,BUFF,Aerodynamics,806433,8,6,0.75,1,1,0,raid_buff,2516,6
Stormbringer,Wind,BUFF,Skyfall,807131,8,6,0.75,1,1,0,raid_buff,1739,7
Stormbringer,Wind,BUFF,Tempest's Call,560567,8,6,0.75,1,1,0,raid_buff,277,8
Sun Cleric,Blessings,BUFF,Redeemed,301005,58,58,1,0.9998927268826432,0.8003952569169961,0,raid_buff,9321,1
Sun Cleric,Blessings,BUFF,Faith,804405,58,54,0.9310344827586207,1,0.88,0,raid_buff,10020,2
Sun Cleric,Blessings,BUFF,Warmth,704564,58,46,0.7931034482758621,0.9997123047268334,1,0,raid_buff,34749,3
Sun Cleric,Blessings,BUFF,Light The Way,300337,58,41,0.7068965517241379,0.853387475956401,0.2,0,limited,3993,4
Sun Cleric,Blessings,BUFF,Solar Invigoration,806123,58,36,0.6206896551724138,1,1,0,raid_buff,6028,5
Sun Cleric,Blessings,BUFF,Circle of Valor,520647,58,21,0.3620689655172414,0.7163943068002109,0.6956521739130435,0,limited,1359,6
Sun Cleric,Piety,DEBUFF,Purgation,806025,65,59,0.9076923076923077,1,0,1,boss_debuff,9400,1
Sun Cleric,Piety,DEBUFF,Sun's Hope,706733,65,49,0.7538461538461538,1,0,1,boss_debuff,11064,2
Sun Cleric,Piety,DEBUFF,Sun Down,572754,65,15,0.23076923076923078,1,0,1,boss_debuff,1203,3
Sun Cleric,Seraphim,DEBUFF,Justicar's Wrath,572067,33,32,0.9696969696969697,1,0,1,boss_debuff,1138,1
Sun Cleric,Seraphim,DEBUFF,Injunction,800624,33,21,0.6363636363636364,0.975,0,0.8571428571428571,boss_debuff,234,2
Sun Cleric,Seraphim,DEBUFF,Solar Eclipse,704931,33,14,0.42424242424242425,1,0,0.8571428571428571,boss_debuff,933,3
Sun Cleric,Seraphim,DEBUFF,Thunder Clap,13532,33,4,0.12121212121212122,0.6519916142557652,0,1,boss_debuff,311,4
Sun Cleric,Valkyrie,DEBUFF,Dawnfall,806118,196,184,0.9387755102040817,0.5511912427559562,0,1,boss_debuff,2568,1
Sun Cleric,Valkyrie,BUFF,Dawnfall,806118,196,184,0.9387755102040817,0.6444803725021018,0.7307692307692307,0,raid_buff,49828,2
Sun Cleric,Valkyrie,DEBUFF,Sunslam,807973,196,181,0.923469387755102,1,0,1,boss_debuff,3726,3
Sun Cleric,Valkyrie,DEBUFF,Horusath Blast,572050,196,160,0.8163265306122449,0.7952404561229549,0,0.99375,boss_debuff,8020,4
Sun Cleric,Valkyrie,DEBUFF,Divine Retribution,680624,196,114,0.5816326530612245,1,0,0.9912280701754386,boss_debuff,15719,5
Sun Cleric,Valkyrie,BUFF,Greater Devotion of Dawn,572390,196,55,0.28061224489795916,0.8672470076169749,0.36,0,limited,797,6
Sun Cleric,Valkyrie,DEBUFF,Seeping Willow,17196,196,37,0.18877551020408162,0.5748622934401603,0,1,boss_debuff,1148,7
Templar,Crusader,DEBUFF,Scarlet Hammer,500752,169,169,1,0.9118183092667882,0,1,boss_debuff,6504,1
Templar,Crusader,DEBUFF,Divine Strikes,803372,169,156,0.9230769230769231,1,0,1,boss_debuff,54603,2
Templar,Crusader,DEBUFF,Condemn,567539,169,156,0.9230769230769231,0.6309918075649295,0,1,boss_debuff,7240,3
Templar,Crusader,BUFF,Harmonic Disposition,560653,169,110,0.650887573964497,0.644362802141171,0.92,0,raid_buff,116283,4
Templar,Crusader,DEBUFF,Crusader's Brand,300513,169,71,0.42011834319526625,1,0,1,boss_debuff,1151,5
Templar,Crusader,BUFF,Tithe of Courage,804820,169,63,0.3727810650887574,0.5288136378375874,0.9615384615384616,0,raid_buff,45662,6
Templar,Crusader,BUFF,Tithe of Crusading,804782,169,22,0.1301775147928994,0.8197289631263788,1,0,raid_buff,15606,7
Templar,Crusader,BUFF,Tithe of Liberty,804815,169,22,0.1301775147928994,1,0.9545454545454546,0,raid_buff,20383,8
Templar,Oathkeeper,DEBUFF,Sacred Swing,301061,73,66,0.9041095890410958,1,0,0.9848484848484849,boss_debuff,2241,1
Templar,Oathkeeper,DEBUFF,Beckon,804914,73,66,0.9041095890410958,1,0,0.8636363636363636,boss_debuff,616,2
Templar,Oathkeeper,BUFF,Barrier of Light,805417,73,63,0.863013698630137,1,0.8636363636363636,0,raid_buff,15861,3
Templar,Oathkeeper,DEBUFF,Mythical Scarring,823757,73,29,0.3972602739726027,0.6170212765957447,0,0.6896551724137931,limited,58,4
Templar,Oathkeeper,DEBUFF,Fixate,823759,73,29,0.3972602739726027,0.6170212765957447,0,0.6896551724137931,limited,58,5
Templar,Oathkeeper,DEBUFF,Absolution,800424,73,17,0.2328767123287671,1,0,1,boss_debuff,72,6
Templar,Oathkeeper,BUFF,Tithe of Heroism,804816,73,13,0.1780821917808219,0.6286170779336056,1,0,raid_buff,14164,7
Templar,Zealot,DEBUFF,Blade of Faith,803880,43,43,1,0.5140117994100295,0,1,boss_debuff,697,1
Templar,Zealot,DEBUFF,Iron Penance,523713,43,42,0.9767441860465116,1,0,1,boss_debuff,8587,2
Tinker,Demolition,DEBUFF,Napalm,805315,80,80,1,0.9995661840464183,0,1,boss_debuff,36866,1
Tinker,Demolition,DEBUFF,Sticky Bomb,502564,80,80,1,0.6478393612024425,0,1,boss_debuff,5517,2
Tinker,Demolition,DEBUFF,Bomb Toss,572053,80,80,1,1,0,1,boss_debuff,2766,3
Tinker,Demolition,DEBUFF,Rocket Bombardment,706696,80,80,1,0.6422976501305483,0,1,boss_debuff,2460,4
Tinker,Demolition,DEBUFF,Build: Spider Bomb,500535,80,80,1,1,0,1,boss_debuff,1553,5
Tinker,Demolition,DEBUFF,Oil Spill Pylon,707290,80,79,0.9875,1,0,1,boss_debuff,646,6
Tinker,Demolition,DEBUFF,Meltdown,581313,80,69,0.8625,0.9444444444444444,0,1,boss_debuff,1020,7
Tinker,Invention,BUFF,Steam Vent,572369,116,116,1,0.6835434311601339,0.9545454545454546,0,raid_buff,69407,1
Tinker,Invention,BUFF,Rejuvenating Gas,706255,116,104,0.896551724137931,1,0.6243386243386244,0,limited,12381,2
Tinker,Invention,BUFF,Med Pack,502536,116,80,0.6896551724137931,0.9593679458239278,0.2357142857142857,0,limited,1275,3
Tinker,Invention,BUFF,Healthy,806158,116,77,0.6637931034482759,0.9616477272727273,0.25,0,limited,1354,4
Tinker,Invention,BUFF,Cybernetic Shield,653283,116,61,0.5258620689655172,1,0.64,0,limited,9938,5
Tinker,Invention,BUFF,Shield Beacon,803807,116,59,0.5086206896551724,0.9599976675024783,0.72,0,raid_buff,16463,6
Tinker,Invention,BUFF,Greater Mana Module,803665,116,49,0.4224137931034483,0.9763421292083713,1,0,raid_buff,1073,7
Tinker,Mechanics,DEBUFF,Gatling Gun,500213,75,74,0.9866666666666667,1,0,1,boss_debuff,6307,1
Tinker,Mechanics,DEBUFF,Turret Upgrade Z-15,573269,75,73,0.9733333333333334,1,0,0.9863013698630136,boss_debuff,8193,2
Tinker,Mechanics,DEBUFF,Gear Grind,504594,75,71,0.9466666666666667,0.9997145304025121,0,1,boss_debuff,3502,3
Tinker,Mechanics,DEBUFF,Molten Grenade,706694,75,70,0.9333333333333333,0.780157129945074,0,1,boss_debuff,11221,4
Tinker,Mechanics,DEBUFF,Flamethrower,806168,75,65,0.8666666666666667,1,0,1,boss_debuff,2880,5
Tinker,Mechanics,DEBUFF,Flame Jets,850024,75,65,0.8666666666666667,1,0,1,boss_debuff,2235,6
Tinker,Mechanics,DEBUFF,Drill Smash,806173,75,63,0.84,1,0,1,boss_debuff,845,7
Tinker,Mechanics,DEBUFF,Living Flame,504521,75,36,0.48,1,0,1,boss_debuff,7772,8
Tinker,Mechanics,DEBUFF,Blazewrought Sunder,681307,75,33,0.44,1,0,0.9696969696969697,boss_debuff,8252,9
Tinker,Mechanics,DEBUFF,Arclight Core,524904,75,32,0.4266666666666667,1,0,1,boss_debuff,2114,10
Tinker,Mechanics,DEBUFF,Sprocket Zap!,805657,75,26,0.3466666666666667,1,0,1,boss_debuff,3838,11
Tinker,Mechanics,DEBUFF,Lesser Sticky Bomb,500612,75,13,0.17333333333333334,1,0,1,boss_debuff,1779,12
Venomancer,Fortitude,DEBUFF,Expulsion,807598,96,87,0.90625,1,0,0.9770114942528736,boss_debuff,5915,1
Venomancer,Fortitude,DEBUFF,Beetle Slime,704347,96,86,0.8958333333333334,1,0,1,boss_debuff,15722,2
Venomancer,Fortitude,DEBUFF,Blight Venom,805896,96,85,0.8854166666666666,0.6466161313191907,0,1,boss_debuff,11857,3
Venomancer,Fortitude,DEBUFF,Wicked Poison,705985,96,85,0.8854166666666666,1,0,1,boss_debuff,8942,4
Venomancer,Fortitude,DEBUFF,Venomtip Poison,572058,96,72,0.75,1,0,0.9861111111111112,boss_debuff,3052,5
Venomancer,Fortitude,DEBUFF,Weakening Venom,706000,96,67,0.6979166666666666,0.966319657072872,0,1,boss_debuff,6312,6
Venomancer,Fortitude,DEBUFF,Barbed Stinger,680854,96,49,0.5104166666666666,1,0,0.9591836734693877,boss_debuff,4336,7
Venomancer,Fortitude,BUFF,Greater Beetle Pheromones,803657,96,44,0.4583333333333333,0.5228136882129277,1,0,raid_buff,1100,8
Venomancer,Fortitude,BUFF,Greater Spider Pheromones,680312,96,12,0.125,0.5235042735042735,0.9553571428571428,0,raid_buff,245,9
Venomancer,Fortitude,BUFF,Shadra's Lair,804978,96,11,0.11458333333333333,0.7560706401766004,0.48,0,limited,685,10
Venomancer,Rot,DEBUFF,Fungal Growth,804971,68,68,1,1,0,1,boss_debuff,15277,1
